peakID,Control1,Control2,Control3,Control4,Control5,DMSO1,DMSO2,DMSO3,DMSO4,DMSO5,Serum-free1,Serum-free2,Serum-free3,Serum-free4,Serum-free5,RA1,RA2,RA3,RA4,RA5
1_556.276575,632178255.3,338214004.1,1331530401,448085215.5,1128126788,1976934906,2399065498,928064037.6,928139778.9,333590529.6,1596747218,1720205568,1184871937,1269278050,2286934119,1517350686,724659495.8,657665205.8,1291256787,1624133261
2_239.106099,56397994.98,99862726.54,74132792.1,49415791.2,61477606.42,183403387.4,38852395.46,171247540.6,189474926.4,165124440.2,184461651.2,207230128,320222184.7,181996122.6,227550657.1,478365031.3,251339485.3,415632068.5,223453067,143224710.5
3_333.167341,173659186.1,164009845.4,115048324,171715380.5,124031388.6,7233618.982,101016149,103057712.6,145216803.9,156067731.9,133865704.4,130406656,141012527.9,115000316.1,101983682.4,102715986.9,94970683.04,146798766.5,88330286.76,86076732.92
4_625.094506,169094520.2,159208205.3,254171922.4,115997090,82739158.22,159651628.1,209886000.8,248136449.6,144970297.6,389694822.5,263520457.3,207391968,193365427.8,134010359,227254476,231110055.2,247253985.1,120798078,284262539.6,250776108.2
5_301.177514,226589389.1,205026229.6,111704396,184849312,166251330.1,5451600.72,118592202.3,122016654.7,174782863.5,185729250.4,164990951.8,163824320,173589373.6,146178671.8,123742882.4,127420733.2,112771761.8,190753947.4,106452158.8,103969542
6_317.151447,118789527.4,97976621.75,57033433.96,103699411.5,73514701.92,0,59721112.52,51160281.55,80378859.87,67006523.51,74613384.9,102024304,91619215.12,62669534.31,62414218.5,55246642.23,46809136.42,83015877.39,43778692.1,33279556.36
7_245.114907,187870100.6,167103867.3,92027963.57,146193465.8,140757761.8,5930048.62,103335854.7,106257538.3,154913370.2,157324819.2,140391492.2,137462512,144353314.1,120292881.6,108007204.7,110748986.1,99965266.39,161318788.4,94974347.77,92579269.38
8_600.240419,20258387.7,4101937.281,19266678.04,2704735.544,42791440.13,95072218.3,36204428.87,8789565.687,7127974.057,0,13983942.53,60579628,44772841.93,12687315.11,34932482.52,43275269.82,8128467.584,22836158.92,10439915.39,15232616.28
9_291.231956,82451560.44,199385659.1,0,188008302.1,109551132.8,26979221.5,65213458.19,54830205.72,169447950.9,102491909.1,62124349.09,23793072,41870747.07,180177666.3,58303805.34,70474624.43,44569885.19,150398574.3,25903859.86,37320319.31
10_305.247604,71320071.81,191213083.5,1540868.478,164399723.3,129547792.9,28825383.09,67076388.34,62398018.19,187174845.7,109434670.5,69187280.93,42544956,48013953.7,176085912.1,58870912.12,64766599.19,59910255.64,156623429.2,53798919.85,54624998.42
