"",logFC,AveExpr,t,P.Value,adj.P.Val,B
291_243.182988,1.322,2.3315e-16,4.476,3.0138e-05,0.019401,2.2672
910_308.091179,-1.211,-3.9413e-16,-4.3252,5.1658e-05,0.019401,1.7912
1028_477.204748,1.1968,-3.969e-16,4.2732,6.2095e-05,0.019401,1.6288
1024_371.290525,1.2399,-3.3862e-16,4.2616,6.467e-05,0.019401,1.5929
620_239.105917,1.1717,-5.1452e-16,4.1458,9.6956e-05,0.023269,1.2359
1413_221.169881,1.0977,-4.2744e-16,3.9302,0.00020297,0.032384,0.58616
962_241.031221,1.0837,4.3854e-16,3.8801,0.00024021,0.032384,0.4383
303_486.317399,1.0917,-1.36e-16,3.8454,0.00026978,0.032384,0.33651
993_311.028663,1.0612,-6.4948e-16,3.8309,0.00028318,0.032384,0.29399
1482_471.30657,1.0614,-1.3878e-17,3.8011,0.00031269,0.032384,0.20714
1246_595.226803,1.0478,6.2728e-16,3.7765,0.00033919,0.032384,0.13591
1795_573.632578,-1.0402,-6.3838e-16,-3.7533,0.00036625,0.032384,0.068705
1152_425.373854,-1.067,-1.2351e-16,-3.7368,0.0003866,0.032384,0.021394
1232_198.148939,1.0594,-4.3437e-16,3.7278,0.0003983,0.032384,-0.0046802
968_372.250997,-1.0448,-7.6952e-16,-3.7122,0.00041922,0.032384,-0.049447
327_401.275885,1.0383,-4.1356e-16,3.6698,0.0004814,0.032384,-0.17032
222_338.023041,1.035,5.9119e-16,3.6679,0.00048445,0.032384,-0.17585
1100_627.101298,1.0451,7.3275e-16,3.667,0.00048576,0.032384,-0.17821
990_240.105488,1.0179,7.7438e-16,3.6354,0.00053826,0.033996,-0.26782
1174_223.074796,-1.0209,1.5543e-16,-3.6044,0.00059489,0.034829,-0.3551
301_542.379934,1.0202,-3.1919e-16,3.5844,0.0006345,0.034829,-0.41132
50_296.258502,0.98916,-3.3862e-16,3.56,0.00068621,0.034829,-0.4796
241_167.070335,-0.99834,1.7451e-16,-3.551,0.00070605,0.034829,-0.50444
