"",logFC,AveExpr,t,P.Value,adj.P.Val,B
50_296.258502,-1.9302,-1.1102e-17,-9.7104,2.09e-08,1.2592e-05,9.6014
625_288.289804,-1.9268,1.9984e-16,-9.6265,2.3742e-08,1.2592e-05,9.4804
87_336.251019,-1.8819,1.1102e-16,-9.3464,3.6546e-08,1.2592e-05,9.0697
61_320.256092,-1.8505,4.5519e-16,-9.2578,4.1974e-08,1.2592e-05,8.9375
49_280.263588,-1.8687,-2.9976e-16,-8.7114,1.0052e-07,2.4125e-05,8.1004
154_312.253414,-1.5686,-2.4425e-16,-7.8527,4.2727e-07,8.4593e-05,6.7013
85_254.247939,-1.5565,-2.3315e-16,-7.7702,4.9346e-07,8.4593e-05,6.5614
209_294.242853,-1.5302,5.6621e-16,-7.653,6.0636e-07,8.6907e-05,6.361
147_350.230272,-1.5624,1.1102e-17,-7.6122,6.518e-07,8.6907e-05,6.2906
186_352.245922,-1.5471,-3.2196e-16,-7.4523,8.6667e-07,0.000104,6.013
848_278.24794,-1.4742,-2.2204e-16,-7.3646,1.0148e-06,0.0001107,5.8591
1175_110.779388,-1.4334,1.1102e-17,-7.1552,1.4854e-06,0.00014854,5.4869
213_368.240835,-1.4503,-4.5519e-16,-7.0126,1.9318e-06,0.00017832,5.2299
98_282.279239,-1.5098,2.387e-16,-6.9002,2.3807e-06,0.00020406,5.0253
1063_292.227203,-1.3614,6.3283e-16,-6.7412,3.2099e-06,0.00024461,4.7324
55_453.16744,-1.5221,2.1094e-16,-6.7327,3.2615e-06,0.00024461,4.7168
257_268.227206,-1.3393,1.2212e-16,-6.6405,3.8852e-06,0.00027425,4.5452
1135_252.232292,-1.3067,-6.4393e-16,-6.4566,5.5258e-06,0.00036839,4.1993
246_332.279631,-1.3042,5.218e-16,-6.4247,5.8768e-06,0.00037117,4.1388
205_366.225189,-1.3078,-1.2768e-16,-6.3393,6.935e-06,0.0004161,3.9762
239_292.224805,-1.2755,3.8858e-16,-6.2008,9.0889e-06,0.00049634,3.7102
1159_186.148929,-1.2469,5.218e-16,-6.2002,9.0996e-06,0.00049634,3.7091
1211_328.284717,-1.2281,-5.3291e-16,-6.0965,1.1161e-05,0.00058233,3.5082
131_332.219707,-1.2496,-5.3846e-16,-6.0046,1.3392e-05,0.00064942,3.3289
1164_308.219717,-1.2507,-4.1078e-16,-5.9971,1.3595e-05,0.00064942,3.3141
816_316.3211,-1.2758,6.4393e-16,-5.9798,1.4071e-05,0.00064942,3.2803
900_256.263589,-1.2048,2.609e-16,-5.9538,1.482e-05,0.00065869,3.2292
1113_561.397176,-1.1846,3.9968e-16,-5.9033,1.6392e-05,0.00070253,3.1299
996_261.847027,-1.3075,-2.9143e-17,-5.7442,2.258e-05,0.00093435,2.8146
1226_226.141453,-1.1653,-2.9421e-16,-5.566,3.2439e-05,0.0012976,2.4578
267_606.390386,-1.1355,0,-5.5447,3.389e-05,0.0013119,2.4146
248_391.125946,-1.1154,-7.494e-16,-5.3989,4.5735e-05,0.0017151,2.1194
275_342.227604,-1.1023,6.0507e-16,-5.3617,4.9395e-05,0.0017962,2.0436
1253_781.491707,-1.0725,-7.9381e-16,-5.3344,5.2264e-05,0.0018446,1.9879
1003_244.263583,-1.0715,-7.7161e-16,-5.2994,5.6201e-05,0.0019269,1.9164
833_443.232963,-1.3888,1.2282e-16,-5.226,6.5473e-05,0.0021336,1.766
1298_112.08602,-1.0907,-5.8842e-16,-5.2237,6.5787e-05,0.0021336,1.7613
1509_276.232295,-1.0683,5.5511e-18,-5.1907,7.0488e-05,0.0022259,1.6933
1590_324.21704,-1.0435,7.7716e-16,-5.157,7.563e-05,0.0022703,1.624
305_382.220095,-1.0694,6.1617e-16,-5.1567,7.5675e-05,0.0022703,1.6234
1229_446.266996,-1.0219,3.3307e-17,-5.1344,7.9291e-05,0.0023207,1.5774
1443_106.754163,-1.0381,-8.1046e-16,-5.0931,8.6472e-05,0.0024689,1.492
184_362.253793,-1.1915,-1.6653e-17,-5.08,8.888e-05,0.0024689,1.465
1795_573.632578,1.019,1.3878e-16,5.0713,9.0527e-05,0.0024689,1.4469
754_296.258663,-1.0023,-1.9429e-16,-5.0174,0.00010141,0.0026891,1.3352
281_194.115224,-1.0647,1.4988e-16,-5.0021,0.00010472,0.0026891,1.3035
321_142.966464,-1.0056,4.774e-16,-4.9931,0.00010673,0.0026891,1.2848
167_177.007108,-1.2677,-3.5735e-16,-4.9895,0.00010756,0.0026891,1.2772
1166_288.289512,-0.9826,-6.8834e-16,-4.9513,0.0001166,0.0028555,1.1978
189_432.238124,-1.1185,7.0569e-16,-4.9388,0.00011971,0.002873,1.1719
513_321.269962,-0.98951,4.885e-16,-4.8995,0.00013011,0.0030614,1.0899
1208_187.169329,1.0705,-4.6074e-16,4.8514,0.00014409,0.0033252,0.98947
2005_534.665307,0.95932,3.4972e-16,4.7579,0.00017584,0.003875,0.79361
1170_286.237763,-0.95963,7.0499e-16,-4.7564,0.0001764,0.003875,0.79051
1126_265.216305,0.97935,4.9127e-16,4.7532,0.0001776,0.003875,0.78382
1002_255.859836,-1.0963,5.7454e-16,-4.7101,0.00019474,0.004173,0.69327
1201_268.263589,-0.95691,-3.5527e-16,-4.6949,0.00020119,0.0042355,0.66126
251_435.235404,1.0119,-1.7764e-16,4.6708,0.00021184,0.0043491,0.61056
