"",logFC,AveExpr,t,P.Value,adj.P.Val,B
625_288.289804,-1.9028,-1.4433e-16,-11.814,1.2478e-08,1.1792e-05,10.225
87_336.251019,-1.8573,-3.4417e-16,-11.398,1.9654e-08,1.1792e-05,9.7975
61_320.256092,-1.7718,-3.7748e-16,-10.147,8.3941e-08,2.6444e-05,8.4116
50_296.258502,-1.6464,5.107e-16,-10.042,9.5421e-08,2.6444e-05,8.288
49_280.263588,-1.5846,9.992e-17,-9.9248,1.1018e-07,2.6444e-05,8.1491
154_312.253414,-1.539,0,-9.59,1.6764e-07,3.3528e-05,7.7425
85_254.247939,-1.5267,3.2196e-16,-9.4594,1.9806e-07,3.3953e-05,7.5804
209_294.242853,-1.4999,-2.3315e-16,-9.3273,2.3485e-07,3.5227e-05,7.4145
147_350.230272,-1.5325,-8.8818e-17,-9.0582,3.3414e-07,4.4552e-05,7.0702
848_278.24794,-1.4427,1.5543e-16,-8.9506,3.8562e-07,4.6275e-05,6.93
291_243.182988,1.5342,-5.5511e-16,8.842,4.4612e-07,4.8668e-05,6.7872
186_352.245922,-1.5168,3.3307e-17,-8.7757,4.8798e-07,4.8798e-05,6.6992
1175_110.779388,-1.401,5.8842e-16,-8.6773,5.5787e-07,5.1496e-05,6.5677
213_368.240835,-1.4179,-3.3307e-16,-8.258,9.9935e-07,7.8853e-05,5.9936
884_628.090908,1.3051,2.6645e-16,8.247,1.015e-06,7.8853e-05,5.9782
55_453.16744,-1.546,4.3299e-16,-8.2222,1.0514e-06,7.8853e-05,5.9435
1063_292.227203,-1.3271,-3.3307e-17,-8.0877,1.2739e-06,8.9925e-05,5.7538
257_268.227206,-1.3044,-3.8858e-16,-7.9697,1.5102e-06,0.00010068,5.5855
1135_252.232292,-1.2708,-1.1102e-17,-7.7114,2.2049e-06,0.00013926,5.2103
205_366.225189,-1.2717,3.9413e-16,-7.4355,3.3333e-06,2e-04,4.7996
1211_328.284717,-1.1899,2.5535e-16,-7.2847,4.1956e-06,0.00023044,4.5706
239_292.224805,-1.2385,2.9976e-16,-7.2802,4.2248e-06,0.00023044,4.5637
1100_627.101298,1.1507,5.8842e-16,7.0943,5.6329e-06,0.00029389,4.2769
222_338.023041,1.1043,1.3323e-16,7.0059,6.4696e-06,0.00032348,4.1387
131_332.219707,-1.2116,1.5543e-16,-6.9657,6.8918e-06,0.00032896,4.0756
1164_308.219717,-1.2126,-2.8311e-16,-6.9444,7.1274e-06,0.00032896,4.042
816_316.3211,-1.2382,-4.2188e-16,-6.8041,8.909e-06,0.00038639,3.8191
982_197.126131,-1.143,-2.7756e-16,-6.7966,9.0157e-06,0.00038639,3.8072
873_277.053046,1.0855,1.6653e-16,6.7014,1.0506e-05,0.00043472,3.6543
908_242.247936,-1.1307,1.6653e-17,-6.6752,1.0959e-05,0.00043835,3.6121
301_542.379934,1.1105,-4.3299e-16,6.6179,1.2026e-05,0.00046554,3.519
300_575.283785,-1.0812,4.7184e-16,-6.5278,1.3928e-05,0.00052229,3.3721
98_282.279239,-1.1696,-5.5511e-16,-6.4802,1.5058e-05,0.00054757,3.294
295_650.416666,-1.039,-6.6058e-16,-6.4463,1.5923e-05,0.00056197,3.2381
1208_187.169329,1.0093,-1.5543e-16,6.4103,1.6896e-05,0.0005793,3.1786
1226_226.141453,-1.1242,4.6629e-16,-6.3863,1.7581e-05,0.00058603,3.1389
925_192.97632,-1.0224,-1.4988e-16,-6.3522,1.8605e-05,0.00059226,3.0821
968_372.250997,-1.0415,6.3283e-16,-6.3371,1.9077e-05,0.00059226,3.057
1235_308.222105,-1.056,1.6653e-17,-6.3231,1.9527e-05,0.00059226,3.0336
1253_781.491707,-1.0284,-3.2196e-16,-6.3165,1.9742e-05,0.00059226,3.0227
1249_321.167334,-1.0657,7.9381e-16,-6.2385,2.2492e-05,0.0006444,2.892
1003_244.263583,-1.0273,-6.4948e-16,-6.2368,2.2554e-05,0.0006444,2.8892
986_125.986368,-1.0372,-3.3862e-16,-6.1932,2.4268e-05,0.00066503,2.8158
1055_230.946164,-0.98284,-1.6653e-16,-6.1845,2.4625e-05,0.00066503,2.8011
1006_103.621283,-1.0538,-4.6629e-16,-6.177,2.4938e-05,0.00066503,2.7885
251_435.235404,1.0355,1.8041e-16,6.0797,2.94e-05,0.00075284,2.6234
1028_477.204748,1.1368,5.3985e-16,6.078,2.9486e-05,0.00075284,2.6205
1590_324.21704,-0.99801,-1.5543e-16,-6.0483,3.1012e-05,0.00077064,2.5699
1289_347.29456,-0.95724,7.0499e-16,-6.0398,3.1468e-05,0.00077064,2.5552
1057_290.172762,-1.0027,-6.4948e-16,-6.02,3.2545e-05,0.00078107,2.5215
1509_276.232295,-1.0235,3.4417e-16,-5.9997,3.3696e-05,0.00079285,2.4866
1027_241.973799,-1.0196,-6.6058e-16,-5.9875,3.4405e-05,0.00079397,2.4657
1298_112.08602,-1.0466,3.3029e-16,-5.9702,3.5437e-05,0.00080234,2.436
754_296.258663,-0.9552,3.3307e-16,-5.9421,3.7186e-05,0.00082635,2.3877
1443_106.754163,-0.99212,-1.1102e-17,-5.9256,3.8257e-05,0.00083014,2.3592
305_382.220095,-1.0244,-3.2752e-16,-5.9183,3.874e-05,0.00083014,2.3466
1166_288.289512,-0.93467,1.7208e-16,-5.8964,4.0231e-05,0.00084697,2.3087
321_142.966464,-0.9584,1.1102e-17,-5.8624,4.2664e-05,0.0008827,2.2498
1139_171.026459,-0.97359,-8.6042e-16,-5.8092,4.6783e-05,0.00093635,2.1573
1240_182.078841,1.0343,3.3862e-16,5.8087,4.6817e-05,0.00093635,2.1566
1225_351.177902,-0.93019,1.9429e-16,-5.7673,5.0318e-05,0.00098986,2.0842
181_481.240828,1.1106,-1.3878e-17,5.7469,5.2139e-05,0.0010091,2.0485
299_198.097293,0.94314,-5.2458e-16,5.7357,5.3164e-05,0.0010126,2.029
513_321.269962,-0.94135,-3.4972e-16,-5.7249,5.418e-05,0.0010159,2.0099
1413_221.169881,1.032,-3.4139e-16,5.6948,5.7105e-05,0.0010542,1.9572
789_190.979421,-1.1074,-1.6306e-16,-5.6567,6.1051e-05,0.00111,1.8901
962_241.031221,1.0171,3.2474e-16,5.6115,6.6108e-05,0.001157,1.8102
1148_167.067928,-0.95277,-5.1903e-16,-5.6114,6.6125e-05,0.001157,1.8099
281_194.115224,-1.019,-1.6653e-17,-5.6079,6.6528e-05,0.001157,1.8038
1159_186.148929,-1.099,-1.4572e-17,-5.5767,7.0293e-05,0.0011904,1.7486
1010_194.975125,-0.91105,7.383e-16,-5.5756,7.043e-05,0.0011904,1.7466
611_299.043931,1.0457,-1.3878e-17,5.5603,7.2374e-05,0.0011952,1.7193
1217_333.115716,0.88267,9.5479e-16,5.5577,7.2707e-05,0.0011952,1.7147
249_562.778176,1.0931,7.1332e-16,5.5465,7.4165e-05,0.0012027,1.6947
1155_263.086966,0.90641,7.272e-16,5.512,7.8844e-05,0.0012615,1.6333
1482_471.30657,0.99328,6.9389e-18,5.4872,8.2389e-05,0.0012932,1.5891
1009_272.185738,1.1285,-1.36e-16,5.4832,8.298e-05,0.0012932,1.582
246_332.279631,-1.1395,-3.8303e-16,-5.4751,8.4184e-05,0.0012951,1.5675
630_171.99179,-1.5008,4.0523e-16,-5.4344,9.0529e-05,0.0013749,1.4946
704_125.986288,-1.2454,-2.498e-17,-5.4275,9.1659e-05,0.0013749,1.4821
1445_279.193157,-0.89174,-1.8874e-16,-5.4196,9.2957e-05,0.0013771,1.468
1201_268.263589,-0.90664,-5.3013e-16,-5.4105,9.4487e-05,0.0013827,1.4516
287_307.224452,0.86326,-7.7716e-16,5.3989,9.6467e-05,0.0013847,1.4308
972_241.110343,0.97756,8.1046e-16,5.3963,9.6927e-05,0.0013847,1.426
620_239.105917,1.1091,-3.969e-16,5.3819,9.9454e-05,0.0013932,1.4002
645_244.190485,0.91204,-7.1332e-16,5.3797,9.9847e-05,0.0013932,1.3962
1364_288.180654,0.95527,3.3307e-16,5.3694,0.00010172,0.0014011,1.3775
150_216.102954,1.1371,2.609e-16,5.3638,0.00010275,0.0014011,1.3675
2007_526.348585,0.84529,-1.7764e-16,5.3433,0.0001066,0.0014373,1.3305
1160_360.179999,0.92009,5.3568e-16,5.3297,0.00010925,0.0014567,1.3058
189_432.238124,-1.0743,4.146e-16,-5.3194,0.0001113,0.0014677,1.2872
706_279.04766,1.0759,-3.747e-17,5.2785,0.00011982,0.0015628,1.2132
839_379.191441,1.0396,-6.0785e-16,5.2633,0.00012315,0.0015891,1.1856
735_141.958639,-1.2491,-4.8572e-18,-5.2516,0.00012581,0.0015979,1.1642
900_256.263589,-1.0501,-1.6376e-16,-5.2443,0.00012748,0.0015979,1.1509
1136_521.335297,1.1408,-5.4678e-16,5.2376,0.00012902,0.0015979,1.1389
941_323.128839,0.98391,-4.7184e-16,5.237,0.00012917,0.0015979,1.1377
696_203.127868,0.85413,-1.8874e-16,5.1688,0.00014622,0.0017785,1.0133
204_299.258172,0.83193,-2.0817e-16,5.1669,0.00014672,0.0017785,1.0098
658_223.963229,-1.3949,-2.4425e-16,-5.148,0.00015187,0.0018199,0.97522
1311_225.073429,0.87697,-5.4123e-16,5.1434,0.00015318,0.0018199,0.96663
38_167.012857,-1.4396,2.276e-16,-5.1131,0.00016189,0.0019046,0.91111
898_562.276614,1.0985,2.5882e-16,5.1074,0.00016358,0.0019057,0.9007
635_182.98521,-1.4765,3.9968e-16,-5.0857,0.0001702,0.0019616,0.86084
1262_377.141915,0.87574,1.8596e-16,5.0812,0.00017164,0.0019616,0.8524
680_216.966895,-1.3054,3.1641e-16,-5.0549,0.00018011,0.0020289,0.80411
990_240.105488,0.94576,1.5266e-16,5.0525,0.00018091,0.0020289,0.79963
759_205.003276,-1.1887,1.1102e-16,-5.0314,0.00018808,0.0020897,0.76066
987_230.982548,-1.1602,-5.0931e-16,-4.99,0.00020301,0.002235,0.68401
144_186.956318,-1.1352,6.6336e-16,-4.9681,0.00021136,0.0022938,0.64361
1007_531.257466,-0.9719,-1.4988e-16,-4.966,0.00021218,0.0022938,0.6397
698_403.028814,1.1064,-2.498e-16,4.9518,0.00021785,0.0023341,0.61324
2_239.106099,1.0268,-5.8217e-16,4.9446,0.00022078,0.0023445,0.59987
860_463.217403,0.85216,7.6328e-16,4.9202,0.00023097,0.0024313,0.55459
166_528.364321,1.1979,-4.9266e-16,4.8966,0.00024135,0.0025184,0.51054
183_514.348689,1.2057,-4.885e-16,4.862,0.00025735,0.0026623,0.44616
665_184.985622,-1.3663,5.107e-16,-4.8558,0.00026036,0.0026704,0.43449
961_172.956406,-1.1459,2.7617e-16,-4.8447,0.00026582,0.0027017,0.41372
804_261.037087,1.0594,-2.9352e-16,4.8404,0.00026792,0.0027017,0.40583
