"",logFC,AveExpr,t,P.Value,adj.P.Val,B
625_288.289804,-1.922,2.3315e-16,-10.899,7.2363e-09,5.1159e-06,10.674
87_336.251019,-1.8769,-1.1102e-16,-10.557,1.1417e-08,5.1159e-06,10.24
50_296.258502,-1.8893,-3.1086e-16,-10.473,1.279e-08,5.1159e-06,10.132
61_320.256092,-1.8052,-7.7716e-17,-9.8726,2.9439e-08,8.8316e-06,9.3334
49_280.263588,-1.8226,6.6613e-17,-9.3005,6.7464e-08,1.6191e-05,8.5329
154_312.253414,-1.5627,5.218e-16,-8.8858,1.2591e-07,2.5183e-05,7.9269
209_294.242853,-1.5241,3.3307e-16,-8.6549,1.7979e-07,3.0821e-05,7.5797
147_350.230272,-1.5564,-1.1102e-17,-8.5271,2.1957e-07,3.2936e-05,7.3845
848_278.24794,-1.4679,-9.992e-17,-8.3224,3.0364e-07,3.6933e-05,7.0674
186_352.245922,-1.541,-4.996e-16,-8.3139,3.0778e-07,3.6933e-05,7.0541
55_453.16744,-1.57,-7.7716e-17,-7.9564,5.4927e-07,5.9921e-05,6.4859
213_368.240835,-1.4439,4.6629e-16,-7.8289,6.7799e-07,6.7799e-05,6.2789
1063_292.227203,-1.3546,5.8842e-16,-7.5863,1.0178e-06,9.3953e-05,5.8787
1186_305.097754,1.3271,2.2204e-17,7.4826,1.2138e-06,9.8299e-05,5.7051
257_268.227206,-1.3323,5.218e-16,-7.4754,1.2287e-06,9.8299e-05,5.693
1135_252.232292,-1.2995,-2.5535e-16,-7.257,1.7889e-06,0.00013417,5.3221
246_332.279631,-1.297,3.6637e-16,-7.2127,1.9321e-06,0.00013638,5.246
85_254.247939,-1.4496,2.0539e-16,-7.1002,2.3517e-06,0.00015519,5.0516
205_366.225189,-1.3006,-3.9413e-16,-7.0753,2.4572e-06,0.00015519,5.0082
1159_186.148929,-1.2394,4.2188e-16,-6.9815,2.8995e-06,0.00017397,4.8444
239_292.224805,-1.2681,1.1102e-17,-6.9258,3.201e-06,0.00018292,4.7465
1211_328.284717,-1.2205,-3.9968e-16,-6.859,3.6062e-06,0.0001967,4.6284
884_628.090908,1.1983,4.4409e-16,6.8143,3.9068e-06,0.00020181,4.5491
236_326.23268,-1.2121,5.6066e-16,-6.7961,4.0361e-06,0.00020181,4.5168
131_332.219707,-1.242,2.8311e-16,-6.6772,5.0022e-06,0.00023649,4.304
1164_308.219717,-1.2431,5.1625e-16,-6.664,5.124e-06,0.00023649,4.2802
816_316.3211,-1.2683,-5.2736e-16,-6.596,5.7986e-06,0.00025772,4.1575
98_282.279239,-1.4418,2.3523e-16,-6.4656,7.3642e-06,0.00031561,3.9203
1226_226.141453,-1.1571,4.0523e-16,-6.1702,1.2767e-05,0.00052829,3.3738
249_562.778176,1.0785,6.0507e-16,6.1044,1.4453e-05,0.00057263,3.2505
295_650.416666,-1.0739,7.7161e-16,-6.0921,1.4793e-05,0.00057263,3.2274
1253_781.491707,-1.0637,1.6653e-16,-5.9937,1.7834e-05,0.00066877,3.0416
275_342.227604,-1.0937,-4.7184e-16,-5.9765,1.8428e-05,0.00067012,3.009
1003_244.263583,-1.0628,-1.6653e-17,-5.9411,1.9719e-05,0.00069597,2.9417
150_216.102954,1.2077,1.9429e-17,5.8686,2.2662e-05,0.00077271,2.8034
1055_230.946164,-1.0195,6.6058e-16,-5.8391,2.3987e-05,0.00077271,2.7469
941_323.128839,1.0735,4.4409e-16,5.8137,2.519e-05,0.00077271,2.6982
1100_627.101298,1.0526,6.1062e-16,5.8112,2.531e-05,0.00077271,2.6935
1298_112.08602,-1.0819,4.6074e-16,-5.7895,2.6396e-05,0.00077271,2.6517
1229_446.266996,-1.0128,-1.7764e-16,-5.7873,2.6508e-05,0.00077271,2.6475
1509_276.232295,-1.0594,-6.1062e-16,-5.7804,2.6868e-05,0.00077271,2.6341
1590_324.21704,-1.0345,3.4972e-16,-5.777,2.7045e-05,0.00077271,2.6275
1113_561.397176,-1.1045,-1.1102e-17,-5.7533,2.8313e-05,0.00079012,2.582
305_382.220095,-1.0605,-3.2752e-16,-5.7269,2.9801e-05,0.00081277,2.531
181_481.240828,1.1216,4.5519e-16,5.706,3.1038e-05,0.00082768,2.4906
1443_106.754163,-1.029,-4.885e-16,-5.689,3.2078e-05,0.00083681,2.4578
839_379.191441,1.1081,-6.0785e-16,5.6704,3.3261e-05,0.00084922,2.4218
754_296.258663,-0.99303,5.107e-16,-5.6447,3.4975e-05,0.00087437,2.3718
321_142.966464,-0.99631,8.3267e-16,-5.5996,3.82e-05,0.00093552,2.2841
1166_288.289512,-0.97313,-3.2752e-16,-5.5832,3.9444e-05,0.00094665,2.2522
1065_716.157414,1.002,-4.6629e-16,5.5468,4.2372e-05,0.00099698,2.181
1155_263.086966,0.97521,1.6653e-17,5.5143,4.5164e-05,0.0010402,2.1175
281_194.115224,-1.0557,-6.1617e-16,-5.505,4.5997e-05,0.0010402,2.0994
190_377.005272,1.1275,-1.6515e-16,5.4915,4.7245e-05,0.0010402,2.0727
513_321.269962,-0.98,-3.2752e-16,-5.4868,4.7678e-05,0.0010402,2.0637
698_403.028814,1.1491,6.7168e-16,5.47,4.9292e-05,0.0010563,2.0306
804_261.037087,1.0779,-5.5511e-18,5.4479,5.1489e-05,0.001084,1.9872
189_432.238124,-1.1098,1.1033e-16,-5.3391,6.3901e-05,0.0013136,1.7724
611_299.043931,1.0074,-7.9242e-16,5.3338,6.4584e-05,0.0013136,1.7619
1170_286.237763,-0.94982,2.7756e-18,-5.3252,6.5692e-05,0.0013138,1.745
898_562.276614,1.1053,5.6344e-16,5.2781,7.2167e-05,0.0014197,1.6515
1201_268.263589,-0.94701,-3.4139e-16,-5.2352,7.8635e-05,0.001522,1.5662
1283_115.656709,0.96829,8.2712e-16,5.2258,8.0135e-05,0.0015264,1.5474
873_277.053046,0.96773,-3.4972e-16,5.2143,8.2e-05,0.0015375,1.5245
706_279.04766,1.0088,2.8866e-16,5.1328,9.6615e-05,0.0017837,1.3615
1307_646.167761,0.94479,-3.4972e-16,5.1035,0.0001025,0.0018636,1.3027
683_383.116082,1.1509,-1.4988e-16,4.9854,0.00013022,0.0023324,1.0649
2_239.106099,0.96109,-1.3878e-17,4.9314,0.00014535,0.0025453,0.95577
1039_376.928554,1.0199,4.4895e-16,4.928,0.00014635,0.0025453,0.94895
962_241.031221,0.88985,3.6637e-16,4.8999,0.000155,0.0026516,0.89198
972_241.110343,0.90004,-3.636e-16,4.894,0.00015689,0.0026516,0.87995
620_239.105917,1.0013,7.7438e-16,4.8864,0.00015934,0.0026556,0.86457
1249_321.167334,-1.0009,5.9952e-16,-4.8666,0.0001659,0.0027158,0.82448
1235_308.222105,-0.98924,1.249e-17,-4.8575,0.00016904,0.0027158,0.80589
1203_289.632987,0.93019,-5.0793e-16,4.8507,0.0001714,0.0027158,0.79211
222_338.023041,0.86478,-5.7176e-16,4.8445,0.00017359,0.0027158,0.77953
267_606.390386,-1.0133,4.6213e-16,-4.8426,0.00017427,0.0027158,0.77567
1432_419.315644,0.86262,1.8596e-16,4.7756,0.00019995,0.0030761,0.63926
833_443.232963,-1.2854,4.4409e-16,-4.7488,0.00021129,0.0032095,0.58452
992_270.279238,-1.1269,-2.3523e-16,-4.7003,0.00023351,0.0035027,0.48535
139_425.178263,1.0482,4.198e-16,4.6728,0.00024714,0.0036613,0.42912
204_299.258172,0.848,7.7716e-16,4.6509,0.00025859,0.0037842,0.38422
