"Bucket.label","m.z","Name","Formula","peakid","difkegg","closestkegg","ckeggname","ckeggform","rdif","allkegg","allkeggnames","valid"
"555.2693969466 Da",556.276575,"Enkephalin L","C28H37N5O7","1_556.276575",3.80230305340001,"C00301","ADP-ribose","C15H23N5O14P2",0.0068011009203292,"","",TRUE
"238.0986717841 Da",239.106099,"15_R_-hydroperoxy-EPE","C8H18N2O4S","2_239.106099",0.131028215900017,"C06123","Hexadecenal","C16H30O",0.000550007895321266,"C06123","Hexadecenal",TRUE
"310.1776744773 Da",333.167341,"3-Hydroxy-6,8-dimethoxy-7_11_-eremophilen-12,8-olide","C17H26O5","3_333.167341",0.0295744773000024,"C16608","Demethylcitalopram","C19H19FN2O",9.53559841250112e-05,"C16608","Demethylcitalopram",TRUE
"624.0872166284 Da",625.094506,"","C14H28N10O10S4","4_625.094506",1.21608337160001,"C02166","Leukotriene C4","C30H47N3O9S",0.0019447896270498,"","",TRUE
"300.1702372503 Da",301.177514,"","","5_301.177514",0.00226274970003715,"C05299","2-Methoxyestrone","C19H24O3",7.53816455550441e-06,"C00777|C05299|C05297|C05285|C05640","Retinoate|2-Methoxyestrone|19-Oxoandrost-4-ene-3,17-dione|Adrenosterone|Cinnavalininate",TRUE
"278.1879192830 Da",317.151447,"1-_4-Hydroxy-3-methoxyphenyl_-3-decanone","C17H26O3","6_317.151447",0.0366807170000243,"C06427","(9Z,12Z,15Z)-Octadecatrienoic acid","C18H30O2",0.000131838511044761,"C00831|C06427|C06426|C16551","Pantetheine|(9Z,12Z,15Z)-Octadecatrienoic acid|(6Z,9Z,12Z)-Octadecatrienoic acid|Alcophosphamide",TRUE
"244.1076336555 Da",245.114907,"","","7_245.114907",0.019433655499995,"C00120","Biotin","C10H16N2O3S",7.96173493843413e-05,"C02567|C00299|C02985|C00120","N1-Acetylspermine|Uridine|L-Fucose 1-phosphate|Biotin",TRUE
"577.2512052378 Da",600.240419,"","C34H35N5O2S","8_600.240419",2.07860523780005,"C14855","4,5-Dihydro-4-hydroxy-5-S-glutathionyl-benzo[a]pyrene","C30H29N3O7S",0.00361388083820413,"","",TRUE
"290.2246772538 Da",291.231956,"Androsterone","C19H30O2","9_291.231956",7.72537999864653e-05,"C00523","Androsterone","C19H30O2",2.66186257079742e-07,"C00523|C04373|C05382|C03917|C05293|C03406|C19490|C04295|C06222|C19607","Androsterone|Etiocholanolone|Sedoheptulose 7-phosphate|Dihydrotestosterone|5beta-Dihydrotestosterone|N-(L-Arginino)succinate|trans-3,4-Dihydro-3,4-dihydroxy-7,12-dimethylbenz[a]anthracene|Androstenediol|Sedoheptulose 1-phosphate|trans-5,6-Dihydro-5,6-dihydroxy-7,12-dimethylbenz[a]anthracene",TRUE
"304.2403260007 Da",305.247604,"Arachidonic acid","C20H32O2","10_305.247604",0.000126000699992801,"C00219","Arachidonate","C20H32O2",4.14148754808868e-07,"C00219|C18075|C12270|C05294|C18045|C05139","Arachidonate|11beta,17beta-Dihydroxy-4-androsten-3-one|N-Acetylaspartylglutamate|19-Hydroxytestosterone|7alpha-Hydroxydehydroepiandrosterone|16alpha-Hydroxydehydroepiandrosterone",TRUE
"208.1464161829 Da",209.15369,"Eremopetasinorol","C13H20O2","11_209.15369",0.0616161828999964,"C00328","L-Kynurenine","C10H12N2O3",0.000296110926410754,"C00328|C05647","L-Kynurenine|Formyl-5-hydroxykynurenamine",TRUE
"318.2559758824 Da",319.263252,"Allopregnanolone","C21H34O2","12_319.263252",7.58823999831293e-05,"C05480","Pregnanolone","C21H34O2",2.38432029015422e-07,"C05480|C18041|C00909|C13712","Pregnanolone|5alpha-Pregnan-20alpha-ol-3-one|Leukotriene A4|Allopregnanolone",TRUE
"278.1516612351 Da",301.141128,"alpha-CEHC","C16H22O4","13_301.141128",0.0216612350999981,"C00831","Pantetheine","C11H22N2O4S",7.78816923740627e-05,"C00831|C06427|C06426|C16551","Pantetheine|(9Z,12Z,15Z)-Octadecatrienoic acid|(6Z,9Z,12Z)-Octadecatrienoic acid|Alcophosphamide",TRUE
"256.2403273317 Da",257.247603,"Palmitic acid","C16H32O2","14_257.247603",0.000127331699957267,"C00249","Hexadecanoic acid","C16H32O2",4.9692319923754e-07,"C00249|C05841|C19488","Hexadecanoic acid|Nicotinate D-ribonucleoside|7,12-Dimethylbenz[a]anthracene",TRUE
